date,score,direction,adx_score,ma_score,rsi_score,bb_score,vix_score,vol_score,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d,fwd_ret_60d
2021-08-25,49.0,bull,0,100.0,100,10,60,40,0.006205232142622474,-0.0006472494018101571,-0.01049999256097589,0.04633925620835444
2021-08-26,49.0,bull,0,100.0,100,10,60,40,0.014977672329418379,-0.0025547923657718297,-0.0032483265170581976,0.05099775412472041
2021-08-27,49.0,bull,0,100.0,100,10,60,40,0.005779090630512185,-0.009012375489838353,-0.014693904510898026,0.0384909243881284
2021-08-30,46.0,bull,0,100.0,80,10,60,40,-0.0019343475477311411,-0.0189322608545458,-0.03889784130651963,0.035751305504001074
2021-08-31,49.0,bull,0,100.0,100,10,60,40,-0.0019038161505666729,-0.009282102389983504,-0.03608926753604802,0.03952961036546587
2021-09-01,49.0,bull,0,100.0,100,10,60,40,-0.0068102225326744925,-0.011127065440476147,-0.04786593815917739,0.015589936511746671
2021-09-02,49.0,bull,0,100.0,80,30,60,40,-0.017273744214444053,-0.022914062632847454,-0.03965442610233638,0.026079154305241437
2021-09-03,49.0,bull,0,100.0,80,30,60,40,-0.014706476062330887,-0.03918045001803827,-0.051807701968044295,0.006960712213657239
2021-09-07,52.0,bull,0,100.0,100,30,60,40,-0.01703085690310091,-0.03668998914445587,-0.03856381010694476,-0.0015463938128691401
2021-09-08,52.0,bull,0,100.0,100,30,60,40,-0.007392359933649284,-0.026235679134736567,-0.033344636966775476,0.013963070110110332
2021-09-09,49.0,bull,0,100.0,100,10,60,40,-0.00434644315289856,-0.009859124471582326,-0.02081330876394516,0.010048426268525867
2021-09-10,36.5,bull,0,100.0,10,30,40,40,-0.005739460389093565,-0.0006953105253082459,-0.015081087071845745,0.029850275517753877
2021-09-13,38.5,bull,0,100.0,10,30,60,40,-0.024839272116494393,-0.005733198761052161,-0.02406501165488173,0.04878791524306436
2021-09-14,38.5,bull,0,100.0,10,30,60,40,-0.019999745037181715,-0.020350868401161182,-0.020796503844333736,0.058104267923721364
2021-09-15,44.5,bull,0,100.0,50,30,60,40,-0.018983653198385353,-0.027058323273187468,-0.02608975953073045,0.04167875373482244
2021-09-16,41.5,bull,0,100.0,50,10,60,40,-0.005536746472478371,-0.037152268440905245,-0.00793299455155072,0.053259574077954674
